rat_id,study_day,condition,treatment,trial_num,epoch_id,state,duration
2,2,OR,2,5.4,0,phasic,0.9920000000001892
2,2,OR,2,5.4,1,phasic,1.9980000000014115
2,2,OR,2,5.4,2,phasic,2.047999999998865
2,2,OR,2,5.4,3,phasic,1.5859999999993306
2,2,OR,2,5.4,0,tonic,36.995999999999185
2,2,OR,2,5.4,1,tonic,9.012000000000626
2,2,OR,2,5.4,2,tonic,38.0
2,2,OR,2,5.4,3,tonic,50.727999999999156
2,2,OR,2,5.4,4,tonic,17.891999999999825
2,2,OR,2,5.4,5,tonic,0.728000000000975
2,2,OR,2,5.4,6,tonic,7.020000000000437
4,4,HC,3,4,0,tonic,4.0
4,4,HC,3,4,1,tonic,8.0
4,4,HC,3,4,2,tonic,34.0
3,4,OD,4,2,0,phasic,1.2699999999999818
3,4,OD,4,2,0,tonic,60.10799999999995
3,4,OD,4,2,1,tonic,31.62200000000007
9,16,OR-N,4,4,0,phasic,2.048000000000002
9,16,OR-N,4,4,1,phasic,1.0579999999999927
9,16,OR-N,4,4,2,phasic,1.2620000000000573
9,16,OR-N,4,4,3,phasic,1.1580000000000155
9,16,OR-N,4,4,4,phasic,1.80399999999986
9,16,OR-N,4,4,5,phasic,1.7539999999999054
9,16,OR-N,4,4,6,phasic,3.953999999999951
9,16,OR-N,4,4,7,phasic,1.1980000000000928
9,16,OR-N,4,4,8,phasic,1.0219999999999345
9,16,OR-N,4,4,9,phasic,1.2279999999996107
9,16,OR-N,4,4,10,phasic,1.44399999999996
9,16,OR-N,4,4,11,phasic,2.9020000000000437
9,16,OR-N,4,4,12,phasic,1.9400000000000546
9,16,OR-N,4,4,13,phasic,2.3160000000002583
9,16,OR-N,4,4,14,phasic,1.8699999999998909
9,16,OR-N,4,4,0,tonic,34.66399999999999
9,16,OR-N,4,4,1,tonic,2.288000000000011
9,16,OR-N,4,4,2,tonic,24.135999999999967
9,16,OR-N,4,4,3,tonic,59.682000000000016
9,16,OR-N,4,4,4,tonic,32.055999999999926
9,16,OR-N,4,4,5,tonic,17.648000000000025
9,16,OR-N,4,4,6,tonic,18.0
9,16,OR-N,4,4,7,tonic,46.516000000000076
9,16,OR-N,4,4,8,tonic,15.034000000000106
9,16,OR-N,4,4,9,tonic,18.218000000000075
9,16,OR-N,4,4,10,tonic,26.182000000000016
9,16,OR-N,4,4,11,tonic,8.339999999999918
9,16,OR-N,4,4,12,tonic,25.322000000000116
9,16,OR-N,4,4,13,tonic,15.070000000000164
9,16,OR-N,4,4,14,tonic,1.1480000000001382
9,16,OR-N,4,4,15,tonic,15.510000000000218
9,16,OR-N,4,4,16,tonic,17.8779999999997
