rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,state,num_bouts,mean_duration,total_duration,percent_of_rem
2,2,OR,2,5.4,9121,9168,phasic,1,0.9920000000001892,0.9920000000001892,0.02110638297872743
2,2,OR,2,5.4,9121,9168,tonic,2,23.003999999999905,46.00799999999981,0.9788936170212725
2,2,OR,2,5.4,9430,9468,phasic,0,,0.0,0.0
2,2,OR,2,5.4,9430,9468,tonic,1,38.0,38.0,1.0
2,2,OR,2,5.4,9738,9820,phasic,3,1.8773333333332023,5.631999999999607,0.0686829268292635
2,2,OR,2,5.4,9738,9820,tonic,4,19.0920000000001,76.3680000000004,0.9313170731707365
4,4,HC,3,4,2396,2400,phasic,0,,0.0,0.0
4,4,HC,3,4,2396,2400,tonic,1,4.0,4.0,1.0
4,4,HC,3,4,2411,2419,phasic,0,,0.0,0.0
4,4,HC,3,4,2411,2419,tonic,1,8.0,8.0,1.0
4,4,HC,3,4,2552,2586,phasic,0,,0.0,0.0
4,4,HC,3,4,2552,2586,tonic,1,34.0,34.0,1.0
3,4,OD,4,2,1552,1645,phasic,1,1.2699999999999818,1.2699999999999818,0.013655913978494428
3,4,OD,4,2,1552,1645,tonic,2,45.86500000000001,91.73000000000002,0.9863440860215056
9,16,OR-N,4,4,707,746,phasic,1,2.048000000000002,2.048000000000002,0.05251282051282056
9,16,OR-N,4,4,707,746,tonic,2,18.476,36.952,0.9474871794871794
9,16,OR-N,4,4,797,934,phasic,3,1.159333333333355,3.4780000000000655,0.02538686131386909
9,16,OR-N,4,4,797,934,tonic,4,33.380499999999984,133.52199999999993,0.9746131386861309
9,16,OR-N,4,4,1461,1479,phasic,0,,0.0,0.0
9,16,OR-N,4,4,1461,1479,tonic,1,18.0,18.0,1.0
9,16,OR-N,4,4,1515,1638,phasic,4,2.1774999999999523,8.709999999999809,0.07081300813007975
9,16,OR-N,4,4,1515,1638,tonic,5,22.85800000000004,114.29000000000019,0.9291869918699203
9,16,OR-N,4,4,2186,2383,phasic,7,1.817428571428536,12.721999999999753,0.06457868020304443
9,16,OR-N,4,4,2186,2383,tonic,8,23.03475000000003,184.27800000000025,0.9354213197969555
4,2,HC,0,2,449,464,phasic,0,,0.0,0.0
4,2,HC,0,2,449,464,tonic,1,15.0,15.0,1.0
4,2,HC,0,2,712,839,phasic,5,1.2055999999999814,6.027999999999906,0.04746456692913312
4,2,HC,0,2,712,839,tonic,6,20.162000000000017,120.9720000000001,0.9525354330708669
4,4,OR-N,4,5.3,5623,5639,phasic,1,1.1000000000003638,1.1000000000003638,0.06875000000002274
