,rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,event_strings
0,2,2,OR,2,5-3,9121,9168,TPT
1,2,2,OR,2,5-3,9430,9468,T
2,2,2,OR,2,5-3,9738,9820,TPTPTPT
3,4,4,HC,3,4,2396,2400,T
4,4,4,HC,3,4,2411,2419,T
5,4,4,HC,3,4,2552,2586,T
6,3,4,OD,4,2,1552,1645,TPT
7,9,16,OR-N,4,4,707,746,TPT
8,9,16,OR-N,4,4,797,934,TPTPTPT
9,9,16,OR-N,4,4,1461,1479,T
10,9,16,OR-N,4,4,1515,1638,TPTPTPTPT
11,9,16,OR-N,4,4,2186,2383,TPTPTPTPTPTPTPT
12,4,2,HC,0,2,449,464,T
13,4,2,HC,0,2,712,839,TPTPTPTPTPT
14,4,4,OR-N,4,5-2,5623,5639,TPT
15,4,4,OR-N,4,5-2,5725,5806,TPTPTPTPTPTPT
16,4,4,OR-N,4,5-2,6285,6317,T
17,4,4,OR-N,4,5-2,6398,6463,T
18,4,4,OR-N,4,5-2,7308,7335,T
19,4,4,OR-N,4,5-2,7383,7486,TPTPT
20,6,3,HC,4,1,747,938,TPTPTPTPT
21,4,4,OR-N,4,4,1286,1371,TPTPT
22,4,4,OR-N,4,4,2033,2164,TPTPTPTP
23,4,1,OR,0,5-3,8342,8358,T
24,4,1,OR,0,5-3,8727,8852,TPTPT
25,4,1,OR,0,5-3,8894,8926,T
26,4,1,OR,0,5-3,9618,9672,TPT
27,3,3,OR,3,5-2,6826,6894,TPT
28,3,3,OR,3,5-2,7301,7392,TPTPTPT
29,3,3,OR,3,5-2,7928,8065,TPTPTPT
30,6,3,CON,2,5-2,5398,5576,PTPTPTPTPT
31,6,3,CON,2,5-2,6577,6738,TPTPTPTPT
32,6,3,CON,2,5-2,7345,7385,T
33,6,3,CON,2,5-2,7620,7676,T
34,9,2,CON,4,5-0,1671,1686,T
35,9,2,CON,4,5-0,1729,1819,TPT
36,5,6,HC,1,2,435,461,T
37,5,6,HC,1,2,991,1046,T
38,5,6,HC,1,2,1081,1156,TPTPTPT
39,5,6,HC,1,2,2041,2168,TPTPT
40,9,2,CON,4,3,643,748,TPTPT
41,9,2,CON,4,3,1389,1417,T
42,9,2,CON,4,3,1486,1515,TPT
43,9,2,CON,4,3,1568,1690,TPT
44,9,2,CON,4,3,2207,2286,T
45,9,2,CON,4,3,2649,2697,TPTPT
46,9,4,CON,2,3,1439,1587,TPTPTPTPT
47,9,4,CON,2,3,2075,2089,T
48,9,4,CON,2,3,2330,2475,TPTPTPT
49,3,3,OR,3,4,1454,1548,TPTPTPTPT
50,3,3,OR,3,4,2115,2148,T
51,4,5,OD,3,4,967,1030,TPTPTPT
52,4,5,OD,3,4,1036,1041,T
53,4,5,OD,3,4,1065,1077,T
54,4,5,OD,3,4,1097,1178,TPTPTPT
55,4,5,OD,3,4,1327,1335,T
56,4,5,OD,3,4,1543,1556,T
57,4,5,OD,3,4,1672,1688,TPT
58,4,5,OD,3,4,1740,1746,T
59,4,5,OD,3,4,1783,1897,TPT
60,4,5,OD,3,4,1907,1914,T
61,4,5,OD,3,4,1925,2057,TPTPTPT
62,4,5,OD,3,4,2062,2107,T
63,4,5,OD,3,4,2111,2119,T
64,4,5,OD,3,4,2131,2137,T
65,4,5,OD,3,4,2297,2371,T
66,8,1,HC,3,4,370,387,T
67,8,1,HC,3,4,571,697,TPT
68,8,1,HC,3,4,736,771,T
69,8,1,HC,3,4,1240,1356,TPTPTPT
70,8,1,HC,3,4,1658,1743,T
71,8,1,HC,3,4,2066,2121,PT
72,8,1,HC,3,4,2317,2427,TPTPTPTPT
73,8,1,HC,3,4,2468,2493,T
74,1,1,OD,4,2,1900,2008,TPTPTPT
75,1,1,OD,4,2,2017,2057,TPT
76,9,4,CON,2,5-1,3036,3090,T
77,9,4,CON,2,5-1,3347,3352,T
78,9,4,CON,2,5-1,3570,3674,TPT
79,13,3,OR,4,2,1415,1557,TPTPTPT
80,13,3,OR,4,2,1599,1620,T
81,13,3,OR,4,2,2493,2697,TPTPTPTPT
82,1,2,OD,2,4,1269,1296,TPT
83,9,10,OR,4,4,989,1172,TPTPTPTPTPTPTPT
84,9,10,OR,4,4,1906,1983,PTPT
85,9,10,OR,4,4,2025,2104,TPT
86,2,2,OR,2,5-1,2933,2967,TPTPT
87,2,2,OR,2,5-1,3367,3418,T
88,2,2,OR,2,5-1,3555,3655,TPTPTPT
89,3,3,OR,0,3,1529,1558,TPT
90,3,3,OR,0,3,1587,1603,T
91,11,2,OD,4,1,1794,1923,TPTPTPTPTPTPTPT
92,11,2,OD,4,1,1967,1995,T
93,11,2,OD,4,1,2359,2471,T
94,11,2,OD,4,1,2486,2558,T
95,9,3,OR,2,5-3,10211,10225,T
96,9,3,OR,2,5-3,10492,10582,TPT
97,3,6,OD,1,5-3,9366,9375,T
98,8,6,OD,3,3,820,869,T
99,8,6,OD,3,3,1258,1365,TPTPT
100,8,6,OD,3,3,1838,1867,T
101,8,6,OD,3,3,2128,2347,TPTPTPTPTPTPTPTPT
102,8,6,OD,3,3,2400,2425,T
103,4,1,CON,4,5-1,2757,2887,TPTPTPTPTPT
104,4,1,CON,4,5-1,3674,3842,TPTPTPTPTPT
105,4,1,CON,4,5-1,3890,3923,T
106,2,1,OD,2,5-0,1572,1637,TPTPTPT
107,2,1,OD,2,5-0,2590,2696,TPTPT
108,3,3,HC,4,3,1891,2107,TPTPT
109,3,1,OR,1,5-1,3556,3607,T
110,3,1,OR,1,5-1,4293,4345,T
111,3,1,OR,1,5-1,4751,4830,T
112,6,6,HC,4,4,107,116,T
113,6,6,HC,4,4,334,424,TPTPT
114,6,6,HC,4,4,802,927,TPT
115,6,6,HC,4,4,1358,1425,TPT
116,6,6,HC,4,4,1811,1879,TPT
117,6,6,HC,4,4,1939,1998,T
118,6,6,HC,4,4,2019,2137,TPTPTPT
119,6,6,HC,4,4,2593,2695,TPTPTPTPT
120,3,8,HC,0,5-0,983,1087,TPTPTPT
121,3,8,HC,0,5-0,1149,1186,T
