rat_id,study_day,condition,treatment,trial_num,epoch_id,duration
5,8,HC,0,3,0,154.0
5,8,HC,0,3,1,47.0
5,8,HC,0,2,0,85.0
5,8,HC,0,2,1,56.0
5,8,HC,0,2,2,84.0
5,8,HC,0,2,3,173.0
5,8,HC,0,4,0,54.0
5,8,HC,0,4,1,68.0
5,8,HC,0,4,2,39.0
5,8,HC,0,4,3,114.0
5,8,HC,0,4,4,41.0
5,8,HC,0,5.1,0,112.0
5,8,HC,0,5.1,1,38.0
5,8,HC,0,5.1,2,47.0
5,8,HC,0,5.1,3,151.0
5,8,HC,0,5.1,4,133.0
5,8,HC,0,5.3,0,73.0
5,8,HC,0,5.3,1,26.0
5,8,HC,0,5.3,2,65.0
5,8,HC,0,5.3,3,43.0
5,8,HC,0,5.3,4,1.0
5,8,HC,0,5.3,5,37.0
5,8,HC,0,5.3,6,40.0
5,8,HC,0,5.4,0,98.0
5,16,OR,1,5.1,0,130.0
5,16,OR,1,5.1,1,122.0
5,16,OR,1,5.2,0,83.0
5,16,OR,1,5.2,1,171.0
5,16,OR,1,5.3,0,118.0
5,16,OR,1,5.4,0,75.0
5,16,OR,1,5.4,1,64.0
5,16,OR,1,4,0,90.0
5,2,OR,0,4,0,44.0
5,2,OR,0,4,1,76.0
5,2,OR,0,2,0,100.0
5,2,OR,0,2,1,27.0
5,2,OR,0,5.1,0,142.0
5,2,OR,0,5.1,1,58.0
5,2,OR,0,5.1,2,91.0
5,2,OR,0,5.2,0,94.0
5,2,OR,0,3,0,32.0
5,2,OR,0,3,1,119.0
5,2,OR,0,3,2,37.0
5,2,OR,0,1,0,89.0
5,1,OR,1,5.1,0,119.0
5,1,OR,1,5.1,1,22.0
5,1,OR,1,5.1,2,41.0
5,1,OR,1,5.2,0,14.0
5,1,OR,1,5.2,1,118.0
5,1,OR,1,3,0,12.0
5,1,OR,1,3,1,56.0
5,1,OR,1,4,0,122.0
5,1,OR,1,4,1,12.0
5,1,OR,1,4,2,45.0
5,1,OR,1,4,3,65.0
5,3,OD,0,4,0,107.0
5,3,OD,0,4,1,22.0
5,3,OD,0,4,2,68.0
5,3,OD,0,3,0,112.0
5,3,OD,0,5.1,0,77.0
5,14,OR,0,5.1,0,71.0
5,14,OR,0,4,0,125.0
5,14,OR,0,4,1,70.0
5,14,OR,0,4,2,54.0
5,14,OR,0,2,0,99.0
5,14,OR,0,3,0,84.0
5,14,OR,0,3,1,116.0
5,4,HC,0,2,0,41.0
5,4,HC,0,2,1,110.0
5,4,HC,0,2,2,32.0
5,4,HC,0,5.1,0,65.0
5,4,HC,0,5.1,1,86.0
5,4,HC,0,5.1,2,30.0
5,4,HC,0,5.1,3,24.0
5,4,HC,0,5.1,4,214.0
5,4,HC,0,5.2,0,173.0
5,4,HC,0,5.2,1,87.0
5,4,HC,0,5.2,2,83.0
5,4,HC,0,5.2,3,106.0
5,4,HC,0,5.3,0,119.0
5,4,HC,0,5.3,1,9.0
5,4,HC,0,5.3,2,15.0
5,4,HC,0,5.3,3,44.0
5,4,HC,0,5.3,4,41.0
5,4,HC,0,5.4,0,88.0
5,4,HC,0,5.4,1,56.0
5,4,HC,0,4,0,101.0
5,4,HC,0,4,1,30.0
5,4,HC,0,4,2,94.0
5,4,HC,0,4,3,18.0
5,4,HC,0,1,0,46.0
5,4,HC,0,1,1,197.0
5,4,HC,0,3,0,219.0
5,4,HC,0,3,1,110.0
5,4,HC,0,3,2,21.0
5,5,OD,1,5.1,0,121.0
5,5,OD,1,5.1,1,64.0
5,5,OD,1,5.1,2,40.0
5,5,OD,1,5.1,3,113.0
5,5,OD,1,5.1,4,17.0
5,5,OD,1,5.2,0,14.0
5,5,OD,1,5.2,1,25.0
5,5,OD,1,5.2,2,125.0
5,5,OD,1,5.3,0,38.0
5,5,OD,1,5.3,1,31.0
5,5,OD,1,5.3,2,34.0
5,5,OD,1,5.3,3,15.0
5,5,OD,1,5.3,4,35.0
5,5,OD,1,5.4,0,30.0
5,5,OD,1,5.4,1,10.0
5,5,OD,1,2,0,25.0
5,5,OD,1,2,1,69.0
5,5,OD,1,3,0,81.0
5,5,OD,1,3,1,43.0
5,5,OD,1,3,2,29.0
5,5,OD,1,3,3,44.0
5,5,OD,1,4,0,59.0
5,5,OD,1,4,1,112.0
5,17,HC,1,5.2,0,164.0
5,17,HC,1,5.2,1,94.0
5,17,HC,1,5.3,0,136.0
5,17,HC,1,5.3,1,42.0
5,17,HC,1,5.3,2,34.0
5,17,HC,1,5.4,0,97.0
5,17,HC,1,5.4,1,82.0
5,7,HC,1,3,0,248.0
5,7,HC,1,3,1,212.0
5,7,HC,1,2,0,65.0
5,7,HC,1,2,1,177.0
5,7,HC,1,2,2,66.0
5,7,HC,1,4,0,30.0
5,7,HC,1,4,1,113.0
5,7,HC,1,4,2,126.0
5,7,HC,1,5.1,0,159.0
5,7,HC,1,5.1,1,10.0
5,7,HC,1,5.1,2,157.0
5,7,HC,1,5.1,3,5.0
5,7,HC,1,5.2,0,25.0
5,7,HC,1,5.2,1,74.0
5,7,HC,1,5.2,2,72.0
5,7,HC,1,5.2,3,35.0
5,7,HC,1,5.3,0,47.0
5,7,HC,1,5.3,1,57.0
5,7,HC,1,5.3,2,72.0
5,7,HC,1,5.4,0,116.0
5,6,HC,1,2,0,26.0
5,6,HC,1,2,1,55.0
5,6,HC,1,2,2,75.0
5,6,HC,1,2,3,127.0
5,6,HC,1,3,0,28.0
5,6,HC,1,3,1,97.0
5,6,HC,1,5.1,0,93.0
5,6,HC,1,5.2,0,109.0
5,6,HC,1,5.3,0,18.0
5,6,HC,1,5.3,1,121.0
5,6,HC,1,5.4,0,27.0
5,6,HC,1,4,0,95.0
5,6,HC,1,4,1,154.0
3,6,OD,1,2,0,92.0
3,6,OD,1,4,0,87.0
3,6,OD,1,4,1,60.0
3,6,OD,1,4,2,16.0
3,6,OD,1,4,3,41.0
3,6,OD,1,5.1,0,163.0
3,6,OD,1,5.1,1,155.0
3,6,OD,1,5.2,0,84.0
3,6,OD,1,5.2,1,18.0
3,6,OD,1,5.2,2,7.0
3,6,OD,1,5.2,3,133.0
3,6,OD,1,5.2,4,24.0
3,6,OD,1,5.2,5,12.0
3,6,OD,1,5.2,6,8.0
3,6,OD,1,5.2,7,98.0
3,6,OD,1,5.3,0,95.0
3,6,OD,1,5.3,1,51.0
3,6,OD,1,5.3,2,26.0
3,6,OD,1,5.3,3,38.0
3,6,OD,1,5.3,4,9.0
3,6,OD,1,5.3,5,14.0
3,6,OD,1,5.4,0,9.0
3,6,OD,1,3,0,36.0
3,6,OD,1,3,1,139.0
3,6,OD,1,1,0,73.0
3,6,OD,1,1,1,163.0
3,7,HC,1,2,0,89.0
3,7,HC,1,3,0,123.0
3,7,HC,1,3,1,28.0
3,7,HC,1,5.2,0,93.0
3,7,HC,1,5.3,0,48.0
3,7,HC,1,5.3,1,38.0
3,7,HC,1,5.4,0,123.0
3,7,HC,1,5.4,1,125.0
3,7,HC,1,5.4,2,20.0
3,7,HC,1,5.4,3,68.0
3,7,HC,1,4,0,102.0
3,7,HC,1,4,1,60.0
3,7,HC,1,4,2,66.0
3,7,HC,1,4,3,55.0
3,2,HC,0,4,0,57.0
3,2,HC,0,4,1,104.0
3,2,HC,0,5.1,0,155.0
3,2,HC,0,5.2,0,143.0
3,2,HC,0,5.2,1,29.0
3,2,HC,0,5.2,2,97.0
3,2,HC,0,5.3,0,50.0
3,2,HC,0,5.3,1,143.0
3,2,HC,0,3,0,119.0
3,17,HC,0,5.1,0,77.0
3,17,HC,0,5.1,1,10.0
3,17,HC,0,5.1,2,1.0
3,17,HC,0,5.1,3,78.0
3,17,HC,0,5.1,4,83.0
3,17,HC,0,5.2,0,88.0
3,17,HC,0,5.3,0,60.0
3,17,HC,0,5.3,1,119.0
3,17,HC,0,5.3,2,42.0
3,17,HC,0,4,0,97.0
3,17,HC,0,4,1,88.0
3,17,HC,0,3,0,117.0
3,9,HC,1,4,0,140.0
3,9,HC,1,4,1,62.0
3,9,HC,1,5.1,0,9.0
3,9,HC,1,5.1,1,21.0
3,9,HC,1,5.1,2,26.0
3,9,HC,1,5.1,3,42.0
3,9,HC,1,5.1,4,21.0
3,9,HC,1,5.2,0,18.0
3,9,HC,1,5.2,1,58.0
3,9,HC,1,5.2,2,30.0
3,9,HC,1,5.2,3,31.0
3,9,HC,1,5.2,4,10.0
3,9,HC,1,5.2,5,14.0
3,9,HC,1,5.2,6,15.0
3,9,HC,1,5.3,0,45.0
3,9,HC,1,5.3,1,25.0
3,9,HC,1,5.4,0,56.0
3,9,HC,1,3,0,90.0
3,8,HC,0,4,0,130.0
3,8,HC,0,4,1,162.0
3,8,HC,0,4,2,68.0
3,8,HC,0,5.1,0,104.0
3,8,HC,0,5.1,1,37.0
3,8,HC,0,5.1,2,93.0
3,8,HC,0,5.2,0,119.0
3,8,HC,0,5.2,1,81.0
3,8,HC,0,5.3,0,225.0
3,8,HC,0,5.3,1,33.0
3,8,HC,0,5.3,2,140.0
3,8,HC,0,5.3,3,102.0
3,8,HC,0,5.3,4,29.0
3,8,HC,0,3,0,17.0
3,8,HC,0,3,1,86.0
3,8,HC,0,3,2,60.0
3,4,OD,0,3,0,44.0
3,4,OD,0,3,1,91.0
3,4,OD,0,4,0,75.0
3,4,OD,0,4,1,45.0
3,4,OD,0,4,2,15.0
3,4,OD,0,5.1,0,58.0
3,4,OD,0,5.1,1,25.0
3,4,OD,0,5.1,2,36.0
3,4,OD,0,5.1,3,97.0
3,4,OD,0,5.1,4,15.0
3,4,OD,0,5.2,0,32.0
3,4,OD,0,5.2,1,77.0
3,4,OD,0,5.2,2,26.0
3,4,OD,0,5.2,3,126.0
3,4,OD,0,5.2,4,114.0
3,4,OD,0,5.3,0,50.0
3,4,OD,0,5.3,1,65.0
3,4,OD,0,5.3,2,110.0
3,4,OD,0,5.3,3,80.0
3,1,OR,1,5.1,0,83.0
3,1,OR,1,5.1,1,35.0
3,1,OR,1,5.1,2,142.0
3,1,OR,1,5.2,0,51.0
3,1,OR,1,5.2,1,52.0
3,1,OR,1,5.2,2,79.0
3,1,OR,1,5.3,0,100.0
3,1,OR,1,5.4,0,35.0
3,1,OR,1,4,0,78.0
3,5,HC,0,1,0,45.0
3,5,HC,0,5.1,0,67.0
3,5,HC,0,5.1,1,91.0
