rat_id,study_day,condition,treatment,trial_num,epoch_id,state,duration
5,8,HC,0,3,0,wake,65.0
5,8,HC,0,3,1,wake,31.0
5,8,HC,0,3,2,wake,26.0
5,8,HC,0,3,3,wake,14.0
5,8,HC,0,3,0,nrem,93.0
5,8,HC,0,3,1,nrem,1115.0
5,8,HC,0,3,2,nrem,888.0
5,8,HC,0,3,3,nrem,208.0
5,8,HC,0,3,0,rem,154.0
5,8,HC,0,3,1,rem,47.0
5,8,HC,0,1,0,wake,2243.0
5,8,HC,0,1,0,nrem,479.0
5,8,HC,0,2,0,wake,27.0
5,8,HC,0,2,1,wake,17.0
5,8,HC,0,2,2,wake,19.0
5,8,HC,0,2,3,wake,33.0
5,8,HC,0,2,4,wake,18.0
5,8,HC,0,2,0,nrem,351.0
5,8,HC,0,2,1,nrem,59.0
5,8,HC,0,2,2,nrem,625.0
5,8,HC,0,2,3,nrem,331.0
5,8,HC,0,2,4,nrem,108.0
5,8,HC,0,2,5,nrem,585.0
5,8,HC,0,2,6,nrem,31.0
5,8,HC,0,2,0,rem,85.0
5,8,HC,0,2,1,rem,56.0
5,8,HC,0,2,2,rem,84.0
5,8,HC,0,2,3,rem,173.0
5,8,HC,0,4,0,wake,128.0
5,8,HC,0,4,1,wake,5.0
5,8,HC,0,4,2,wake,23.0
5,8,HC,0,4,3,wake,14.0
5,8,HC,0,4,4,wake,80.0
5,8,HC,0,4,5,wake,229.0
5,8,HC,0,4,0,nrem,501.0
5,8,HC,0,4,1,nrem,23.0
5,8,HC,0,4,2,nrem,15.0
5,8,HC,0,4,3,nrem,719.0
5,8,HC,0,4,4,nrem,44.0
5,8,HC,0,4,5,nrem,17.0
5,8,HC,0,4,6,nrem,416.0
5,8,HC,0,4,7,nrem,26.0
5,8,HC,0,4,8,nrem,22.0
5,8,HC,0,4,0,rem,54.0
5,8,HC,0,4,1,rem,68.0
5,8,HC,0,4,2,rem,39.0
5,8,HC,0,4,3,rem,114.0
5,8,HC,0,4,4,rem,41.0
5,8,HC,0,5.1,0,wake,13.0
5,8,HC,0,5.1,1,wake,7.0
5,8,HC,0,5.1,2,wake,15.0
5,8,HC,0,5.1,3,wake,32.0
5,8,HC,0,5.1,4,wake,277.0
5,8,HC,0,5.1,0,nrem,432.0
5,8,HC,0,5.1,1,nrem,229.0
5,8,HC,0,5.1,2,nrem,5.0
5,8,HC,0,5.1,3,nrem,29.0
5,8,HC,0,5.1,4,nrem,311.0
5,8,HC,0,5.1,5,nrem,364.0
5,8,HC,0,5.1,6,nrem,22.0
5,8,HC,0,5.1,7,nrem,344.0
5,8,HC,0,5.1,0,rem,112.0
5,8,HC,0,5.1,1,rem,38.0
5,8,HC,0,5.1,2,rem,47.0
5,8,HC,0,5.1,3,rem,151.0
5,8,HC,0,5.1,4,rem,133.0
5,8,HC,0,5.2,0,wake,1409.0
5,8,HC,0,5.2,1,wake,55.0
5,8,HC,0,5.2,2,wake,67.0
5,8,HC,0,5.2,0,nrem,350.0
5,8,HC,0,5.2,1,nrem,272.0
5,8,HC,0,5.2,2,nrem,14.0
5,8,HC,0,5.2,3,nrem,487.0
5,8,HC,0,5.3,0,wake,5.0
5,8,HC,0,5.3,1,wake,14.0
5,8,HC,0,5.3,2,wake,14.0
5,8,HC,0,5.3,3,wake,33.0
5,8,HC,0,5.3,4,wake,62.0
5,8,HC,0,5.3,5,wake,18.0
5,8,HC,0,5.3,6,wake,5.0
5,8,HC,0,5.3,7,wake,368.0
5,8,HC,0,5.3,8,wake,423.0
5,8,HC,0,5.3,0,nrem,52.0
5,8,HC,0,5.3,1,nrem,8.0
5,8,HC,0,5.3,2,nrem,50.0
5,8,HC,0,5.3,3,nrem,403.0
5,8,HC,0,5.3,4,nrem,204.0
5,8,HC,0,5.3,5,nrem,16.0
5,8,HC,0,5.3,6,nrem,259.0
5,8,HC,0,5.3,7,nrem,11.0
5,8,HC,0,5.3,8,nrem,252.0
5,8,HC,0,5.3,0,rem,73.0
5,8,HC,0,5.3,1,rem,26.0
5,8,HC,0,5.3,2,rem,65.0
5,8,HC,0,5.3,3,rem,43.0
5,8,HC,0,5.3,4,rem,1.0
5,8,HC,0,5.3,5,rem,37.0
5,8,HC,0,5.3,6,rem,40.0
5,8,HC,0,5.4,0,wake,270.0
5,8,HC,0,5.4,1,wake,11.0
5,8,HC,0,5.4,2,wake,1741.0
5,8,HC,0,5.4,0,nrem,508.0
5,8,HC,0,5.4,1,nrem,31.0
5,8,HC,0,5.4,0,rem,98.0
5,15,HC,0,3,0,wake,62.0
5,15,HC,0,3,1,wake,9.0
5,15,HC,0,3,2,wake,8.0
5,15,HC,0,3,3,wake,430.0
5,15,HC,0,3,4,wake,6.0
5,15,HC,0,3,5,wake,97.0
5,15,HC,0,3,0,nrem,54.0
5,15,HC,0,3,1,nrem,227.0
5,15,HC,0,3,2,nrem,31.0
5,15,HC,0,3,3,nrem,28.0
5,15,HC,0,3,4,nrem,45.0
5,15,HC,0,3,5,nrem,47.0
5,15,HC,0,4,0,wake,2754.0
5,15,HC,0,5.1,0,wake,1364.0
5,15,HC,0,2,0,wake,1875.0
5,15,HC,0,2,1,wake,32.0
5,15,HC,0,2,2,wake,682.0
5,15,HC,0,2,0,nrem,66.0
5,15,HC,0,2,1,nrem,42.0
5,15,HC,0,1,0,wake,2309.0
5,15,HC,0,1,1,wake,1.0
5,15,HC,0,1,2,wake,307.0
5,15,HC,0,1,0,nrem,103.0
5,16,OR,1,1,0,wake,656.0
5,16,OR,1,1,1,wake,1173.0
5,16,OR,1,1,2,wake,15.0
5,16,OR,1,1,3,wake,93.0
5,16,OR,1,1,4,wake,11.0
5,16,OR,1,1,5,wake,136.0
5,16,OR,1,1,0,nrem,77.0
5,16,OR,1,1,1,nrem,207.0
5,16,OR,1,1,2,nrem,148.0
5,16,OR,1,1,3,nrem,106.0
5,16,OR,1,1,4,nrem,68.0
5,16,OR,1,5.1,0,wake,509.0
5,16,OR,1,5.1,1,wake,86.0
5,16,OR,1,5.1,2,wake,15.0
5,16,OR,1,5.1,3,wake,6.0
5,16,OR,1,5.1,0,nrem,93.0
5,16,OR,1,5.1,1,nrem,528.0
5,16,OR,1,5.1,2,nrem,1.0
5,16,OR,1,5.1,3,nrem,590.0
5,16,OR,1,5.1,4,nrem,327.0
5,16,OR,1,5.1,5,nrem,188.0
5,16,OR,1,5.1,0,rem,130.0
5,16,OR,1,5.1,1,rem,122.0
5,16,OR,1,5.2,0,wake,6.0
5,16,OR,1,5.2,1,wake,558.0
5,16,OR,1,5.2,2,wake,296.0
5,16,OR,1,5.2,3,wake,67.0
5,16,OR,1,5.2,4,wake,82.0
5,16,OR,1,5.2,0,nrem,526.0
5,16,OR,1,5.2,1,nrem,663.0
5,16,OR,1,5.2,2,nrem,71.0
5,16,OR,1,5.2,3,nrem,93.0
5,16,OR,1,5.2,4,nrem,52.0
5,16,OR,1,5.2,0,rem,83.0
5,16,OR,1,5.2,1,rem,171.0
5,16,OR,1,5.3,0,wake,205.0
5,16,OR,1,5.3,1,wake,459.0
5,16,OR,1,5.3,2,wake,48.0
5,16,OR,1,5.3,0,nrem,1527.0
5,16,OR,1,5.3,1,nrem,284.0
5,16,OR,1,5.3,2,nrem,48.0
5,16,OR,1,5.3,0,rem,118.0
5,16,OR,1,5.4,0,wake,12.0
5,16,OR,1,5.4,1,wake,525.0
5,16,OR,1,5.4,2,wake,58.0
5,16,OR,1,5.4,3,wake,23.0
5,16,OR,1,5.4,4,wake,14.0
5,16,OR,1,5.4,5,wake,192.0
5,16,OR,1,5.4,6,wake,15.0
5,16,OR,1,5.4,0,nrem,267.0
5,16,OR,1,5.4,1,nrem,28.0
5,16,OR,1,5.4,2,nrem,265.0
5,16,OR,1,5.4,3,nrem,194.0
5,16,OR,1,5.4,4,nrem,268.0
5,16,OR,1,5.4,5,nrem,215.0
5,16,OR,1,5.4,6,nrem,1.0
5,16,OR,1,5.4,7,nrem,1.0
5,16,OR,1,5.4,8,nrem,19.0
5,16,OR,1,5.4,9,nrem,366.0
5,16,OR,1,5.4,0,rem,75.0
5,16,OR,1,5.4,1,rem,64.0
5,16,OR,1,2,0,wake,326.0
5,16,OR,1,2,1,wake,58.0
5,16,OR,1,2,2,wake,2258.0
5,16,OR,1,2,0,nrem,33.0
5,16,OR,1,2,1,nrem,19.0
5,16,OR,1,3,0,wake,449.0
5,16,OR,1,3,1,wake,14.0
5,16,OR,1,3,2,wake,22.0
5,16,OR,1,3,3,wake,10.0
5,16,OR,1,3,0,nrem,53.0
5,16,OR,1,3,1,nrem,46.0
5,16,OR,1,3,2,nrem,85.0
5,16,OR,1,3,3,nrem,12.0
5,16,OR,1,4,0,wake,551.0
5,16,OR,1,4,1,wake,20.0
5,16,OR,1,4,2,wake,5.0
5,16,OR,1,4,3,wake,374.0
5,16,OR,1,4,4,wake,11.0
5,16,OR,1,4,5,wake,104.0
5,16,OR,1,4,0,nrem,100.0
5,16,OR,1,4,1,nrem,443.0
5,16,OR,1,4,2,nrem,503.0
5,16,OR,1,4,3,nrem,357.0
5,16,OR,1,4,4,nrem,102.0
5,16,OR,1,4,0,rem,90.0
5,2,OR,0,4,0,wake,345.0
5,2,OR,0,4,1,wake,242.0
5,2,OR,0,4,2,wake,7.0
5,2,OR,0,4,3,wake,14.0
5,2,OR,0,4,4,wake,417.0
5,2,OR,0,4,0,nrem,575.0
5,2,OR,0,4,1,nrem,667.0
5,2,OR,0,4,2,nrem,50.0
5,2,OR,0,4,3,nrem,212.0
5,2,OR,0,4,0,rem,44.0
5,2,OR,0,4,1,rem,76.0
5,2,OR,0,2,0,wake,439.0
5,2,OR,0,2,1,wake,35.0
5,2,OR,0,2,2,wake,16.0
5,2,OR,0,2,3,wake,18.0
5,2,OR,0,2,4,wake,23.0
5,2,OR,0,2,5,wake,15.0
5,2,OR,0,2,6,wake,13.0
5,2,OR,0,2,7,wake,23.0
5,2,OR,0,2,8,wake,1.0
5,2,OR,0,2,9,wake,41.0
5,2,OR,0,2,10,wake,40.0
5,2,OR,0,2,11,wake,165.0
5,2,OR,0,2,0,nrem,202.0
5,2,OR,0,2,1,nrem,45.0
5,2,OR,0,2,2,nrem,381.0
5,2,OR,0,2,3,nrem,179.0
5,2,OR,0,2,4,nrem,254.0
5,2,OR,0,2,5,nrem,82.0
5,2,OR,0,2,6,nrem,131.0
5,2,OR,0,2,7,nrem,167.0
5,2,OR,0,2,8,nrem,130.0
5,2,OR,0,2,9,nrem,20.0
5,2,OR,0,2,10,nrem,44.0
5,2,OR,0,2,0,rem,100.0
5,2,OR,0,2,1,rem,27.0
5,2,OR,0,5.1,0,wake,350.0
5,2,OR,0,5.1,1,wake,17.0
5,2,OR,0,5.1,2,wake,21.0
5,2,OR,0,5.1,3,wake,15.0
5,2,OR,0,5.1,4,wake,15.0
5,2,OR,0,5.1,0,nrem,192.0
5,2,OR,0,5.1,1,nrem,41.0
5,2,OR,0,5.1,2,nrem,401.0
5,2,OR,0,5.1,3,nrem,444.0
5,2,OR,0,5.1,4,nrem,184.0
5,2,OR,0,5.1,5,nrem,256.0
5,2,OR,0,5.1,6,nrem,367.0
5,2,OR,0,5.1,0,rem,142.0
5,2,OR,0,5.1,1,rem,58.0
5,2,OR,0,5.1,2,rem,91.0
5,2,OR,0,5.2,0,wake,22.0
5,2,OR,0,5.2,1,wake,18.0
5,2,OR,0,5.2,2,wake,2118.0
5,2,OR,0,5.2,0,nrem,16.0
5,2,OR,0,5.2,1,nrem,14.0
5,2,OR,0,5.2,2,nrem,85.0
5,2,OR,0,5.2,0,rem,94.0
5,2,OR,0,5.3,0,wake,266.0
5,2,OR,0,3,0,wake,435.0
5,2,OR,0,3,1,wake,35.0
5,2,OR,0,3,2,wake,5.0
5,2,OR,0,3,3,wake,8.0
5,2,OR,0,3,4,wake,2.0
5,2,OR,0,3,5,wake,504.0
5,2,OR,0,3,0,nrem,611.0
5,2,OR,0,3,1,nrem,278.0
5,2,OR,0,3,2,nrem,135.0
5,2,OR,0,3,3,nrem,81.0
5,2,OR,0,3,4,nrem,23.0
5,2,OR,0,3,0,rem,32.0
5,2,OR,0,3,1,rem,119.0
5,2,OR,0,3,2,rem,37.0
5,2,OR,0,1,0,wake,806.0
5,2,OR,0,1,1,wake,31.0
5,2,OR,0,1,2,wake,217.0
5,2,OR,0,1,3,wake,191.0
5,2,OR,0,1,4,wake,12.0
5,2,OR,0,1,5,wake,7.0
5,2,OR,0,1,6,wake,176.0
5,2,OR,0,1,0,nrem,116.0
5,2,OR,0,1,1,nrem,41.0
5,2,OR,0,1,2,nrem,23.0
5,2,OR,0,1,3,nrem,751.0
5,2,OR,0,1,4,nrem,15.0
5,2,OR,0,1,5,nrem,158.0
5,2,OR,0,1,0,rem,89.0
5,1,OR,1,5.1,0,wake,611.0
5,1,OR,1,5.1,1,wake,91.0
5,1,OR,1,5.1,2,wake,11.0
5,1,OR,1,5.1,3,wake,17.0
5,1,OR,1,5.1,4,wake,55.0
5,1,OR,1,5.1,5,wake,186.0
5,1,OR,1,5.1,6,wake,29.0
5,1,OR,1,5.1,7,wake,20.0
5,1,OR,1,5.1,0,nrem,63.0
5,1,OR,1,5.1,1,nrem,151.0
5,1,OR,1,5.1,2,nrem,50.0
5,1,OR,1,5.1,3,nrem,293.0
5,1,OR,1,5.1,4,nrem,39.0
5,1,OR,1,5.1,5,nrem,34.0
5,1,OR,1,5.1,6,nrem,56.0
5,1,OR,1,5.1,7,nrem,344.0
5,1,OR,1,5.1,8,nrem,94.0
5,1,OR,1,5.1,9,nrem,278.0
5,1,OR,1,5.1,0,rem,119.0
5,1,OR,1,5.1,1,rem,22.0
5,1,OR,1,5.1,2,rem,41.0
5,1,OR,1,5.2,0,wake,20.0
5,1,OR,1,5.2,1,wake,2409.0
5,1,OR,1,5.2,0,nrem,80.0
5,1,OR,1,5.2,1,nrem,25.0
5,1,OR,1,5.2,0,rem,14.0
5,1,OR,1,5.2,1,rem,118.0
5,1,OR,1,5.3,0,wake,725.0
5,1,OR,1,5.3,1,wake,86.0
5,1,OR,1,5.3,2,wake,31.0
5,1,OR,1,5.3,3,wake,379.0
5,1,OR,1,5.3,4,wake,14.0
5,1,OR,1,5.3,5,wake,25.0
5,1,OR,1,5.3,6,wake,1007.0
5,1,OR,1,5.3,0,nrem,95.0
5,1,OR,1,5.3,1,nrem,43.0
5,1,OR,1,5.3,2,nrem,118.0
5,1,OR,1,5.3,3,nrem,69.0
5,1,OR,1,5.3,4,nrem,54.0
5,1,OR,1,5.3,5,nrem,37.0
5,1,OR,1,5.4,0,wake,2699.0
5,1,OR,1,1,0,wake,1116.0
5,1,OR,1,1,1,wake,92.0
5,1,OR,1,1,2,wake,25.0
5,1,OR,1,1,3,wake,21.0
5,1,OR,1,1,4,wake,51.0
5,1,OR,1,1,5,wake,724.0
5,1,OR,1,1,0,nrem,20.0
5,1,OR,1,1,1,nrem,199.0
5,1,OR,1,1,2,nrem,261.0
5,1,OR,1,1,3,nrem,15.0
5,1,OR,1,1,4,nrem,166.0
5,1,OR,1,3,0,wake,371.0
5,1,OR,1,3,1,wake,412.0
5,1,OR,1,3,2,wake,21.0
5,1,OR,1,3,3,wake,364.0
5,1,OR,1,3,4,wake,15.0
5,1,OR,1,3,5,wake,11.0
5,1,OR,1,3,6,wake,26.0
5,1,OR,1,3,7,wake,35.0
5,1,OR,1,3,0,nrem,25.0
5,1,OR,1,3,1,nrem,39.0
5,1,OR,1,3,2,nrem,160.0
5,1,OR,1,3,3,nrem,53.0
5,1,OR,1,3,4,nrem,63.0
5,1,OR,1,3,5,nrem,72.0
5,1,OR,1,3,6,nrem,7.0
5,1,OR,1,3,7,nrem,181.0
5,1,OR,1,3,8,nrem,413.0
5,1,OR,1,3,9,nrem,103.0
5,1,OR,1,3,10,nrem,152.0
5,1,OR,1,3,0,rem,12.0
5,1,OR,1,3,1,rem,56.0
5,1,OR,1,2,0,wake,419.0
5,1,OR,1,2,1,wake,277.0
5,1,OR,1,2,2,wake,25.0
5,1,OR,1,2,3,wake,834.0
5,1,OR,1,2,4,wake,82.0
5,1,OR,1,2,5,wake,55.0
5,1,OR,1,2,0,nrem,130.0
5,1,OR,1,2,1,nrem,313.0
5,1,OR,1,2,2,nrem,241.0
5,1,OR,1,2,3,nrem,168.0
5,1,OR,1,2,4,nrem,54.0
5,1,OR,1,2,5,nrem,90.0
5,1,OR,1,4,0,wake,224.0
5,1,OR,1,4,1,wake,58.0
5,1,OR,1,4,2,wake,173.0
5,1,OR,1,4,3,wake,11.0
5,1,OR,1,4,4,wake,38.0
5,1,OR,1,4,5,wake,22.0
5,1,OR,1,4,6,wake,124.0
5,1,OR,1,4,7,wake,21.0
5,1,OR,1,4,8,wake,64.0
5,1,OR,1,4,9,wake,33.0
5,1,OR,1,4,10,wake,12.0
5,1,OR,1,4,11,wake,29.0
5,1,OR,1,4,0,nrem,107.0
5,1,OR,1,4,1,nrem,101.0
5,1,OR,1,4,2,nrem,94.0
5,1,OR,1,4,3,nrem,158.0
5,1,OR,1,4,4,nrem,246.0
5,1,OR,1,4,5,nrem,51.0
5,1,OR,1,4,6,nrem,101.0
5,1,OR,1,4,7,nrem,123.0
5,1,OR,1,4,8,nrem,53.0
5,1,OR,1,4,9,nrem,66.0
5,1,OR,1,4,10,nrem,77.0
5,1,OR,1,4,11,nrem,150.0
5,1,OR,1,4,12,nrem,91.0
5,1,OR,1,4,13,nrem,83.0
5,1,OR,1,4,0,rem,122.0
5,1,OR,1,4,1,rem,12.0
5,1,OR,1,4,2,rem,45.0
5,1,OR,1,4,3,rem,65.0
5,3,OD,0,4,0,wake,195.0
5,3,OD,0,4,1,wake,25.0
5,3,OD,0,4,2,wake,13.0
5,3,OD,0,4,3,wake,13.0
5,3,OD,0,4,4,wake,17.0
5,3,OD,0,4,5,wake,27.0
