rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,state,num_bouts,mean_duration,total_duration,percent_of_rem
5,8,HC,0,3,1331,1485,phasic,3,1.958000000000008,5.874000000000024,0.0381428571428573
5,8,HC,0,3,1331,1485,tonic,4,37.031499999999994,148.12599999999998,0.9618571428571427
5,8,HC,0,3,2428,2475,phasic,1,3.1539999999999964,3.1539999999999964,0.06710638297872333
5,8,HC,0,3,2428,2475,tonic,2,21.923000000000002,43.846000000000004,0.9328936170212767
5,8,HC,0,2,411,496,phasic,4,1.6640000000000157,6.656000000000063,0.07830588235294192
5,8,HC,0,2,411,496,tonic,5,15.668799999999987,78.34399999999994,0.9216941176470581
5,8,HC,0,2,1564,1620,phasic,3,2.358666666666674,7.076000000000022,0.12635714285714325
5,8,HC,0,2,1564,1620,tonic,4,12.230999999999995,48.92399999999998,0.8736428571428567
5,8,HC,0,2,1625,1709,phasic,1,1.2079999999998563,1.2079999999998563,0.014380952380950671
5,8,HC,0,2,1625,1709,tonic,2,41.39600000000007,82.79200000000014,0.9856190476190493
5,8,HC,0,2,2480,2653,phasic,2,1.7820000000001528,3.5640000000003056,0.02060115606936593
5,8,HC,0,2,2480,2653,tonic,3,56.47866666666656,169.4359999999997,0.979398843930634
5,8,HC,0,4,657,711,phasic,0,,0.0,0.0
5,8,HC,0,4,657,711,tonic,1,54.0,54.0,1.0
5,8,HC,0,4,736,804,phasic,2,1.3349999999999795,2.669999999999959,0.03926470588235234
5,8,HC,0,4,736,804,tonic,3,21.77666666666668,65.33000000000004,0.9607352941176477
5,8,HC,0,4,821,860,phasic,1,1.6440000000000055,1.6440000000000055,0.04215384615384629
5,8,HC,0,4,821,860,tonic,2,18.677999999999997,37.355999999999995,0.9578461538461537
5,8,HC,0,4,1669,1783,phasic,3,2.1006666666666356,6.301999999999907,0.05528070175438515
5,8,HC,0,4,1669,1783,tonic,4,26.924500000000023,107.69800000000009,0.9447192982456148
5,8,HC,0,4,1873,1914,phasic,0,,0.0,0.0
5,8,HC,0,4,1873,1914,tonic,1,41.0,41.0,1.0
5,8,HC,0,5,708,820,phasic,3,1.1073333333333342,3.3220000000000027,0.02966071428571431
5,8,HC,0,5,708,820,tonic,4,27.1695,108.678,0.9703392857142857
5,8,HC,0,5,850,888,phasic,0,,0.0,0.0
5,8,HC,0,5,850,888,tonic,1,38.0,38.0,1.0
5,8,HC,0,5,1267,1314,phasic,0,,0.0,0.0
5,8,HC,0,5,1267,1314,tonic,1,47.0,47.0,1.0
5,8,HC,0,5,1753,1904,phasic,2,1.1710000000000491,2.3420000000000982,0.015509933774835087
5,8,HC,0,5,1753,1904,tonic,3,49.55266666666663,148.6579999999999,0.9844900662251649
5,8,HC,0,5,1943,2076,phasic,1,5.180000000000064,5.180000000000064,0.03894736842105311
5,8,HC,0,5,1943,2076,tonic,2,63.90999999999997,127.81999999999994,0.9610526315789469
5,8,HC,0,5,5464,5537,phasic,0,,0.0,0.0
5,8,HC,0,5,5464,5537,tonic,1,73.0,73.0,1.0
5,8,HC,0,5,5635,5661,phasic,0,,0.0,0.0
5,8,HC,0,5,5635,5661,tonic,1,26.0,26.0,1.0
5,8,HC,0,5,6188,6253,phasic,1,1.2600000000002183,1.2600000000002183,0.019384615384618744
5,8,HC,0,5,6188,6253,tonic,2,31.86999999999989,63.73999999999978,0.9806153846153812
5,8,HC,0,5,6858,6901,phasic,1,2.1340000000000146,2.1340000000000146,0.049627906976744525
5,8,HC,0,5,6858,6901,tonic,2,20.432999999999993,40.865999999999985,0.9503720930232554
5,8,HC,0,5,6920,6921,phasic,0,,0.0,0.0
5,8,HC,0,5,6920,6921,tonic,1,1.0,1.0,1.0
5,8,HC,0,5,6942,6979,phasic,3,1.3873333333334206,4.162000000000262,0.11248648648649356
5,8,HC,0,5,6942,6979,tonic,4,8.209499999999935,32.83799999999974,0.8875135135135064
5,8,HC,0,5,7635,7675,phasic,0,,0.0,0.0
5,8,HC,0,5,7635,7675,tonic,1,40.0,40.0,1.0
5,8,HC,0,5,8915,9013,phasic,0,,0.0,0.0
5,8,HC,0,5,8915,9013,tonic,1,98.0,98.0,1.0
5,16,OR,1,5,1246,1376,phasic,4,2.0165000000000077,8.066000000000031,0.062046153846154084
5,16,OR,1,5,1246,1376,tonic,5,24.386799999999994,121.93399999999997,0.9379538461538459
5,16,OR,1,5,2388,2510,phasic,5,1.5731999999999062,7.865999999999531,0.06447540983606173
5,16,OR,1,5,2388,2510,tonic,6,19.02233333333341,114.13400000000047,0.9355245901639383
5,16,OR,1,5,3247,3330,phasic,2,1.3910000000000764,2.782000000000153,0.033518072289158464
5,16,OR,1,5,3247,3330,tonic,3,26.73933333333328,80.21799999999985,0.9664819277108415
5,16,OR,1,5,4002,4173,phasic,0,,0.0,0.0
5,16,OR,1,5,4002,4173,tonic,1,171.0,171.0,1.0
5,16,OR,1,5,7138,7256,phasic,1,1.837999999999738,1.837999999999738,0.015576271186438458
5,16,OR,1,5,7138,7256,tonic,2,58.08100000000013,116.16200000000026,0.9844237288135615
