rat_id,study_day,condition,treatment,trial_num,state,num_bouts,total_duration
5,8,HC,0,3,phasic,4,9.028
5,8,HC,0,3,tonic,6,191.972
5,8,HC,0,2,phasic,10,18.504
5,8,HC,0,2,tonic,14,379.496
5,8,HC,0,4,phasic,6,10.616
5,8,HC,0,4,tonic,10,264.384
5,8,HC,0,5,phasic,11,18.4
5,8,HC,0,5,tonic,22,707.6
5,16,OR,1,5,phasic,24,37.488
5,16,OR,1,5,tonic,32,816.512
5,16,OR,1,4,phasic,3,4.17
5,16,OR,1,4,tonic,4,85.83
5,2,OR,0,4,phasic,2,5.308
5,2,OR,0,4,tonic,4,114.692
5,2,OR,0,2,phasic,3,4.34
5,2,OR,0,2,tonic,5,122.66
5,2,OR,0,5,phasic,6,12.942
5,2,OR,0,5,tonic,9,373.058
5,2,OR,0,3,phasic,4,5.514
5,2,OR,0,3,tonic,7,182.486
5,2,OR,0,1,phasic,1,3.834
5,2,OR,0,1,tonic,2,85.166
5,1,OR,1,5,phasic,7,11.108
5,1,OR,1,5,tonic,12,302.892
5,1,OR,1,3,phasic,3,4.02
5,1,OR,1,3,tonic,5,63.98
5,1,OR,1,4,phasic,6,11.718
5,1,OR,1,4,tonic,9,232.284
5,3,OD,0,4,phasic,6,8.752
5,3,OD,0,4,tonic,9,188.248
5,3,OD,0,3,phasic,2,2.494
5,3,OD,0,3,tonic,3,109.506
5,3,OD,0,5,phasic,2,3.134
5,3,OD,0,5,tonic,3,73.866
5,14,OR,0,5,phasic,3,3.828
5,14,OR,0,5,tonic,4,67.172
5,14,OR,0,4,phasic,6,9.508
5,14,OR,0,4,tonic,8,239.494
5,14,OR,0,2,phasic,3,5.522
5,14,OR,0,2,tonic,4,93.478
5,14,OR,0,3,phasic,4,5.216
5,14,OR,0,3,tonic,6,194.784
5,4,HC,0,2,phasic,4,7.524
5,4,HC,0,2,tonic,7,175.476
5,4,HC,0,5,phasic,26,55.674
5,4,HC,0,5,tonic,42,1184.326
5,4,HC,0,4,phasic,4,9.442
5,4,HC,0,4,tonic,8,233.558
5,4,HC,0,1,phasic,2,2.868
5,4,HC,0,1,tonic,4,240.132
5,4,HC,0,3,phasic,7,14.144
5,4,HC,0,3,tonic,10,335.856
5,5,OD,1,5,phasic,15,26.376
5,5,OD,1,5,tonic,30,685.624
5,5,OD,1,2,phasic,3,4.762
5,5,OD,1,2,tonic,5,89.238
5,5,OD,1,3,phasic,4,4.884
5,5,OD,1,3,tonic,7,192.118
5,5,OD,1,4,phasic,5,7.326
5,5,OD,1,4,tonic,7,163.674
5,17,HC,1,5,phasic,15,25.446
5,17,HC,1,5,tonic,22,623.554
5,7,HC,1,3,phasic,7,13.748
5,7,HC,1,3,tonic,9,446.252
5,7,HC,1,2,phasic,6,13.714
5,7,HC,1,2,tonic,9,294.286
5,7,HC,1,4,phasic,5,5.608
5,7,HC,1,4,tonic,8,263.392
5,7,HC,1,5,phasic,13,28.0
5,7,HC,1,5,tonic,24,802.0
5,6,HC,1,2,phasic,5,7.314
5,6,HC,1,2,tonic,9,275.686
5,6,HC,1,3,phasic,3,7.182
